WBAN;YearMonthDay;Tmax;Tmin;Tavg;Depart;DewPoint;WetBulb;Heat;Cool;Sunrise;Sunset;CodeSum;Depth;Water1;SnowFall;PrecipTotal;StnPressure;SeaLevel;ResultSpeed;ResultDir;AvgSpeed;Max5Speed;Max5Dir;Max2Speed;Max2Dir
94846;20070626;92;70;81;10;69;72;0;16;418;1931;TSRA BR HZ VCTS;M;M;M;0.16;29.39;30.11;6.1;22;7.1;40;230;32;230
94846;20070627;91;71;81;10;70;72;0;16;418;1931;TSRA;M;M;M;0.15;29.29;30.02;7.5;24;8.8;35;320;26;330
94846;20070628;74;58;66;-5;55;60;0;1;419;1931; ;M;M;M;0.00;29.41;M;11.9;3;M;30;40;21;40
94846;20070629;70;56;63;-8;55;59;2;0;419;1931; ;0;M;0.0;0.00;29.41;30.14;7.6;2;8.3;25;50;14;40
94846;20070630;79;54;67;-5;46;56;0;2;419;1931; ;M;M;M;0.00;29.41;30.13;4.9;3;5.8;25;50;15;40
4838;20070701;72;55;64;M;53;58;1;0;-;-; ;M;M;M;0.00;29.56;30.25;6.1;3;6.7;18;70;14;30
4838;20070702;76;52;64;M;51;58;1;0;-;-; ;M;M;M;0.00;29.53;30.23;5.4;12;6.1;21;150;16;150
4838;20070703;84;60;72;M;57;64;0;7;-;-;TSRA RA BR VCTS;M;M;M;0.51;29.35;30.06;6.1;19;6.5;21;250;16;160
4838;20070704;86;68;77;M;65;69;0;12;-;-;HZ;M;M;M;0.05;29.21;29.91;3.6;26;6.6;29;160;25;160
4838;20070705;89;70;80;M;61;67;0;15;-;-;HZ;M;M;M;0.00;29.28;29.95;3.9;32;5.5;23;310;17;290
4838;20070706;85;64;75;M;58;65;0;10;-;-; ;M;M;M;0.00;29.36;30.04;2.3;4;3.7;16;290;12;340
4838;20070707;90;62;76;M;63;69;0;11;-;-; ;M;M;M;0.00;29.21;29.91;6.6;21;7.1;24;180;18;190
4838;20070708;94;76;85;M;67;73;0;20;-;-; ;M;M;M;0.00;29.08;29.77;11.2;22;11.4;30;210;22;200
4838;20070709;94;69;82;M;67;70;0;17;-;-;TSRA RA BR VCTS;M;M;M;0.26;29.15;29.81;3.1;23;5.9;39;290;26;290
4838;20070710;88;68;78;M;67;70;0;13;-;-;TSRA BR;M;M;M;0.25;29.10;29.77;6.7;22;8.3;35;270;26;270
